Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,100,250,648,0.00018715858459472656,"[[2, 5, 6, 8, 10, 16, 29, 33, 36]]"
40,100,250,667,0.0007014274597167969,"[[0, 6, 7, 11, 12, 14, 15, 16, 26]]"
40,100,250,595,0.00024771690368652344,"[[0, 1, 2, 3, 15, 17, 32, 34]]"
40,100,250,728,0.00029659271240234375,"[[1, 10, 14, 15, 18, 23, 27, 28, 30, 33]]"
40,100,250,591,0.003159761428833008,"[[1, 10, 11, 12, 13, 14, 29, 38]]"
40,100,250,566,0.0003826618194580078,"[[2, 15, 21, 24, 27, 29, 31, 32]]"
40,100,250,594,0.0004467964172363281,"[[1, 5, 8, 14, 18, 28, 29, 30, 38, 39]]"
40,100,250,622,0.0005662441253662109,"[[4, 9, 10, 11, 15, 17, 28, 36, 37]]"
40,100,250,770,0.0029244422912597656,"[[3, 5, 7, 10, 11, 27, 30, 32, 36, 37, 39]]"
40,100,250,553,0.00011897087097167969,"[[4, 13, 16, 28, 29, 31, 32]]"
