Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,100,100,522,0.0007121562957763672,"[[7, 9, 11, 12, 27, 32, 37]]"
40,100,100,530,0.0018787384033203125,"[[12, 27, 30, 31, 38, 39]]"
40,100,100,451,0.001004934310913086,"[[2, 5, 14, 18, 26, 29, 30]]"
40,100,100,544,0.0003666877746582031,"[[6, 10, 14, 16, 19, 20, 23]]"
40,100,100,459,0.0018301010131835938,"[[16, 24, 26, 29, 36, 39]]"
40,100,100,499,0.0019431114196777344,"[[2, 16, 17, 23, 30, 38]]"
40,100,100,481,0.0015120506286621094,"[[14, 15, 17, 22, 26, 34, 35, 36]]"
40,100,100,470,0.0054967403411865234,"[[5, 10, 14, 25, 33, 39]]"
40,100,100,442,0.0032911300659179688,"[[3, 8, 13, 25, 35, 39]]"
40,100,100,436,0.001035451889038086,"[[0, 1, 7, 11, 12, 38]]"
