Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,100,500,717,0.7448892593383789,"[[6, 10, 11, 15, 17, 18, 19, 22, 32, 37]]"
40,100,500,602,0.7252581119537354,"[[10, 14, 17, 22, 27, 31, 33, 35, 38]]"
40,100,500,720,0.7484052181243896,"[[0, 2, 11, 14, 17, 19, 22, 26, 27, 30, 32, 39]]"
40,100,500,805,0.7565908432006836,"[[1, 2, 6, 10, 14, 15, 16, 24, 25, 29, 31, 38]]"
40,100,500,1006,0.7487761974334717,"[[1, 7, 9, 11, 16, 18, 19, 21, 29, 30, 31, 34, 39]]"
40,100,500,993,0.7588837146759033,"[[0, 2, 3, 5, 12, 19, 20, 21, 22, 25, 28, 31, 32, 34, 36]]"
40,100,500,638,0.7430069446563721,"[[1, 2, 4, 11, 14, 17, 18, 21, 27, 34, 37]]"
40,100,500,406,0.7419874668121338,"[[7, 13, 14, 15, 18, 21, 27, 35, 36, 39]]"
40,100,500,446,0.7538554668426514,"[[2, 4, 7, 8, 12, 21, 22, 25]]"
40,100,500,591,0.73465895652771,"[[4, 6, 7, 9, 15, 24, 29, 33]]"
