Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
20,200,200,797,0.0003364086151123047,"[[1, 2, 6, 7, 9, 11, 12, 14, 16, 17, 18]]"
20,200,200,668,0.002318143844604492,"[[0, 1, 4, 8, 10, 12, 15, 16, 17]]"
20,200,200,686,9.322166442871094e-05,"[[0, 4, 6, 8, 9, 10, 12, 14, 15, 16, 17]]"
20,200,200,641,0.0002970695495605469,"[[1, 3, 5, 8, 10, 11, 12, 17, 19]]"
20,200,200,664,0.0003845691680908203,"[[2, 4, 6, 11, 13, 15, 17, 18, 19]]"
20,200,200,705,0.0008857250213623047,"[[1, 2, 7, 10, 13, 15, 16, 17]]"
20,200,200,709,0.00015783309936523438,"[[0, 1, 2, 5, 8, 12, 13, 14, 15, 18]]"
20,200,200,703,0.0003688335418701172,"[[1, 2, 3, 4, 8, 10, 11, 12, 13, 15]]"
20,200,200,845,0.00011873245239257812,"[[0, 1, 4, 5, 6, 10, 11, 13, 16, 18]]"
20,200,200,712,0.00041484832763671875,"[[0, 1, 2, 3, 5, 13, 16, 18]]"
20,200,200,705,0.00092315673828125,"[[1, 2, 7, 10, 13, 15, 16, 17]]"
20,200,200,709,0.00014734268188476562,"[[0, 1, 2, 5, 8, 12, 13, 14, 15, 18]]"
20,200,200,703,0.0003960132598876953,"[[1, 2, 3, 4, 8, 10, 11, 12, 13, 15]]"
20,200,200,845,8.440017700195312e-05,"[[0, 1, 4, 5, 6, 10, 11, 13, 16, 18]]"
20,200,200,712,0.0004591941833496094,"[[0, 1, 2, 3, 5, 13, 16, 18]]"
20,200,200,672,0.00017595291137695312,"[[0, 1, 5, 6, 7, 10, 13, 14, 17, 18]]"
20,200,200,556,0.00011324882507324219,"[[0, 1, 2, 7, 10, 11, 12]]"
20,200,200,687,6.008148193359375e-05,"[[1, 4, 5, 9, 10, 12, 14, 15, 18]]"
20,200,200,609,0.0001685619354248047,"[[0, 1, 2, 8, 10, 14, 15, 18, 19]]"
20,200,200,561,0.0001876354217529297,"[[3, 6, 7, 8, 11, 14, 15, 19]]"
