Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
50,200,200,873,0.007603168487548828,"[[3, 6, 8, 9, 10, 12, 16, 25, 28, 30, 32, 33, 47]]"
50,200,200,970,0.00508570671081543,"[[1, 6, 21, 29, 30, 33, 34, 36, 37, 38, 41, 43, 44, 45]]"
50,200,200,811,0.08662891387939453,"[[0, 5, 12, 19, 22, 31, 33, 36, 39, 41, 42, 46]]"
50,200,200,989,0.01148843765258789,"[[1, 2, 4, 12, 13, 14, 15, 18, 20, 26, 27, 37, 43, 45]]"
50,200,200,867,0.005710601806640625,"[[0, 8, 13, 25, 26, 31, 32, 35, 38, 40, 43, 46]]"
50,200,200,953,0.014069080352783203,"[[9, 13, 14, 18, 20, 22, 23, 25, 26, 33, 36, 37, 40, 43, 47]]"
50,200,200,1036,0.020353317260742188,"[[1, 2, 17, 22, 23, 25, 29, 31, 32, 39, 40, 42, 48]]"
50,200,200,762,0.09786128997802734,"[[4, 7, 8, 12, 18, 21, 27, 32, 37, 40, 46]]"
50,200,200,850,0.0062541961669921875,"[[0, 13, 14, 16, 22, 23, 28, 29, 31, 35, 38]]"
50,200,200,933,0.04367375373840332,"[[8, 10, 13, 14, 18, 19, 29, 37, 40, 43, 45, 46]]"
