Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
10,200,200,475,0.14990711212158203,"[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]"
10,200,200,573,0.1466379165649414,"[[1, 2, 4, 5, 6, 7, 8, 9]]"
10,200,200,479,0.14556384086608887,"[[0, 1, 2, 3, 4, 7, 8, 9]]"
10,200,200,579,0.14208412170410156,"[[0, 2, 5, 6, 7, 8, 9]]"
10,200,200,448,0.14305377006530762,"[[1, 3, 4, 6, 7, 8, 9]]"
10,200,200,469,0.1484682559967041,"[[0, 1, 2, 3, 4, 5, 6, 7, 9]]"
10,200,200,459,0.14248156547546387,"[[1, 2, 3, 5, 6, 8]]"
10,200,200,415,0.14703083038330078,"[[0, 1, 2, 3, 4, 5, 7, 8, 9]]"
10,200,200,364,0.145721435546875,"[[1, 2, 3, 4, 5, 6, 7, 8, 9]]"
10,200,200,581,0.14294028282165527,"[[0, 1, 3, 4, 5, 7, 8, 9]]"
