Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
90,200,200,1251,2.508657217025757,"[[3, 13, 14, 24, 27, 32, 35, 38, 44, 46, 49, 60, 72, 83, 86, 87]]"
90,200,200,1384,1.3559751510620117,"[[0, 28, 33, 41, 47, 49, 53, 56, 58, 59, 65, 79, 80, 82, 85, 87, 88]]"
90,200,200,1004,1.3054614067077637,"[[0, 3, 18, 23, 31, 37, 45, 46, 48, 62, 67, 78, 83]]"
90,200,200,1122,2.5193498134613037,"[[4, 15, 24, 33, 38, 39, 43, 63, 66, 71, 75, 78, 81, 82]]"
90,200,200,1124,1.3219451904296875,"[[4, 13, 14, 15, 20, 29, 31, 35, 45, 53, 62, 69, 70, 89]]"
90,200,200,1084,1.3053982257843018,"[[5, 8, 20, 22, 29, 33, 37, 38, 39, 46, 49, 51, 55, 68, 70]]"
90,200,200,1143,1.2754130363464355,"[[10, 16, 30, 31, 34, 38, 40, 41, 43, 53, 67, 72, 80, 83, 88]]"
90,200,200,1209,1.30287766456604,"[[1, 13, 15, 23, 38, 41, 44, 52, 53, 54, 61, 67, 71, 75, 87, 89]]"
90,200,200,1106,1.3235812187194824,"[[2, 11, 12, 16, 18, 24, 30, 38, 43, 55, 61, 70, 75, 79, 87]]"
90,200,200,1206,1.3039183616638184,"[[8, 14, 19, 20, 26, 32, 34, 57, 66, 67, 70, 72, 77, 80, 85, 88]]"
