Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
30,200,200,806,0.44815850257873535,"[[0, 1, 6, 9, 10, 12, 14, 15, 18, 19, 24]]"
30,200,200,942,0.44039249420166016,"[[0, 2, 3, 5, 7, 9, 12, 16, 20, 25, 27, 28, 29]]"
30,200,200,738,0.43425536155700684,"[[0, 1, 3, 6, 8, 10, 12, 18, 19, 25, 26, 27]]"
30,200,200,688,0.43056416511535645,"[[0, 1, 6, 10, 11, 13, 18, 19, 22, 29]]"
30,200,200,698,0.43316030502319336,"[[3, 4, 5, 6, 11, 12, 13, 20, 21, 24]]"
30,200,200,861,0.4951202869415283,"[[5, 7, 10, 11, 14, 16, 19, 20, 21, 22, 23, 24, 28]]"
30,200,200,832,0.439760684967041,"[[3, 4, 5, 6, 9, 10, 12, 18, 22, 24, 27, 28]]"
30,200,200,792,0.431044340133667,"[[0, 4, 6, 11, 13, 16, 17, 19, 23, 26, 27, 28]]"
30,200,200,708,0.43036413192749023,"[[1, 5, 7, 12, 13, 15, 17, 20, 25]]"
30,200,200,818,0.4354233741760254,"[[0, 2, 13, 14, 16, 20, 24, 26, 27, 28, 29]]"
