Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
40,100,100,664,0.0004239082336425781,"[[3, 4, 9, 16, 22, 26, 29, 31]]"
40,100,100,616,0.022045135498046875,"[[1, 8, 10, 14, 19, 20, 28, 32]]"
40,100,100,474,0.001987934112548828,"[[3, 6, 9, 11, 23, 27]]"
40,100,100,566,0.0008718967437744141,"[[3, 13, 21, 23, 27, 34, 35, 37]]"
40,100,100,633,0.0002703666687011719,"[[2, 3, 7, 13, 15, 18, 31, 35]]"
40,100,100,484,0.0032415390014648438,"[[10, 13, 22, 25, 34, 37, 38]]"
40,100,100,476,0.0010280609130859375,"[[4, 5, 10, 19, 20, 31]]"
40,100,100,524,0.0036454200744628906,"[[13, 14, 15, 21, 22, 32, 39]]"
40,100,100,495,0.0014650821685791016,"[[4, 6, 10, 25, 27, 30, 31]]"
40,100,100,529,0.0005466938018798828,"[[0, 1, 4, 19, 20, 24, 26]]"
