Algoritmo,Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
BB,40,100,100,522,0.0007121562957763672,"[[7, 9, 11, 12, 27, 32, 37]]"
BB,40,100,100,530,0.0018787384033203125,"[[12, 27, 30, 31, 38, 39]]"
BB,40,100,100,451,0.001004934310913086,"[[2, 5, 14, 18, 26, 29, 30]]"
BB,40,100,100,544,0.0003666877746582031,"[[6, 10, 14, 16, 19, 20, 23]]"
BB,40,100,100,459,0.0018301010131835938,"[[16, 24, 26, 29, 36, 39]]"
BB,40,100,100,499,0.0019431114196777344,"[[2, 16, 17, 23, 30, 38]]"
BB,40,100,100,481,0.0015120506286621094,"[[14, 15, 17, 22, 26, 34, 35, 36]]"
BB,40,100,100,470,0.0054967403411865234,"[[5, 10, 14, 25, 33, 39]]"
BB,40,100,100,442,0.0032911300659179688,"[[3, 8, 13, 25, 35, 39]]"
BB,40,100,100,436,0.001035451889038086,"[[0, 1, 7, 11, 12, 38]]"
BB,40,100,500,717,0.0002779960632324219,"[[6, 10, 11, 15, 17, 18, 19, 22, 32, 37]]"
BB,40,100,500,602,0.0002205371856689453,"[[10, 14, 17, 22, 27, 31, 33, 35, 38]]"
BB,40,100,500,720,0.0004756450653076172,"[[0, 2, 11, 14, 17, 19, 22, 26, 27, 30, 32, 39]]"
BB,40,100,500,805,0.00038433074951171875,"[[1, 2, 6, 10, 14, 20, 24, 25, 29, 31, 33, 38]]"
BB,40,100,500,1006,0.00033283233642578125,"[[1, 7, 9, 11, 16, 18, 19, 21, 29, 30, 31, 34, 39]]"
BB,40,100,500,993,0.0005819797515869141,"[[0, 2, 3, 5, 12, 19, 20, 21, 22, 25, 28, 31, 32, 34, 36]]"
BB,40,100,500,638,0.000461578369140625,"[[1, 2, 4, 11, 14, 17, 18, 21, 27, 34, 37]]"
BB,40,100,500,406,0.0003523826599121094,"[[7, 13, 14, 15, 18, 21, 27, 35, 36, 39]]"
