Algoritmo,Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
BB,20,200,200,797,0.0003364086151123047,"[[1, 2, 6, 7, 9, 11, 12, 14, 16, 17, 18]]"
BB,20,200,200,668,0.002318143844604492,"[[0, 1, 4, 8, 10, 12, 15, 16, 17]]"
BB,20,200,200,686,9.322166442871094e-05,"[[0, 4, 6, 8, 9, 10, 12, 14, 15, 16, 17]]"
BB,20,200,200,641,0.0002970695495605469,"[[1, 3, 5, 8, 10, 11, 12, 17, 19]]"
BB,20,200,200,664,0.0003845691680908203,"[[2, 4, 6, 11, 13, 15, 17, 18, 19]]"
BB,20,200,200,705,0.0008857250213623047,"[[1, 2, 7, 10, 13, 15, 16, 17]]"
BB,20,200,200,709,0.00015783309936523438,"[[0, 1, 2, 5, 8, 12, 13, 14, 15, 18]]"
BB,20,200,200,703,0.0003688335418701172,"[[1, 2, 3, 4, 8, 10, 11, 12, 13, 15]]"
BB,20,200,200,845,0.00011873245239257812,"[[0, 1, 4, 5, 6, 10, 11, 13, 16, 18]]"
BB,20,200,200,712,0.00041484832763671875,"[[0, 1, 2, 3, 5, 13, 16, 18]]"
BB,20,200,200,705,0.00092315673828125,"[[1, 2, 7, 10, 13, 15, 16, 17]]"
BB,20,200,200,709,0.00014734268188476562,"[[0, 1, 2, 5, 8, 12, 13, 14, 15, 18]]"
BB,20,200,200,703,0.0003960132598876953,"[[1, 2, 3, 4, 8, 10, 11, 12, 13, 15]]"
BB,20,200,200,845,8.440017700195312e-05,"[[0, 1, 4, 5, 6, 10, 11, 13, 16, 18]]"
BB,20,200,200,712,0.0004591941833496094,"[[0, 1, 2, 3, 5, 13, 16, 18]]"
BB,20,200,200,672,0.00017595291137695312,"[[0, 1, 5, 6, 7, 10, 13, 14, 17, 18]]"
BB,20,200,200,556,0.00011324882507324219,"[[0, 1, 2, 7, 10, 11, 12]]"
BB,20,200,200,687,6.008148193359375e-05,"[[1, 4, 5, 9, 10, 12, 14, 15, 18]]"
BB,20,200,200,609,0.0001685619354248047,"[[0, 1, 2, 8, 10, 14, 15, 18, 19]]"
BB,20,200,200,561,0.0001876354217529297,"[[3, 6, 7, 8, 11, 14, 15, 19]]"
BB,40,200,200,823,0.0007946491241455078,"[[0, 1, 5, 6, 14, 17, 18, 20, 22, 27, 30]]"
BB,40,200,200,848,0.0022177696228027344,"[[4, 5, 10, 12, 14, 15, 21, 22, 30, 32, 39]]"
BB,40,200,200,818,0.014843463897705078,"[[14, 20, 21, 26, 30, 32, 34, 35, 36, 38, 39]]"
BB,40,200,200,952,0.00796365737915039,"[[4, 6, 10, 12, 13, 15, 22, 28, 30, 35, 37, 38, 39]]"
BB,40,200,200,823,0.014919757843017578,"[[0, 3, 6, 12, 18, 19, 25, 26, 27, 30, 31, 36]]"
BB,40,200,200,838,0.013773918151855469,"[[0, 3, 8, 9, 11, 12, 23, 24, 26, 32]]"
BB,40,200,200,932,0.0021741390228271484,"[[0, 1, 3, 15, 17, 20, 21, 26, 29, 30, 32, 34, 38]]"
BB,40,200,200,857,0.002022266387939453,"[[3, 4, 5, 6, 9, 10, 18, 22, 24, 27, 28, 36]]"
BB,40,200,200,871,0.03606867790222168,"[[1, 3, 6, 7, 9, 13, 16, 17, 27, 35, 36]]"
BB,40,200,200,874,0.002027273178100586,"[[0, 10, 12, 24, 26, 30, 34, 36, 37, 38, 39]]"
BB,40,200,200,1051,0.012444257736206055,"[[1, 4, 7, 8, 13, 16, 17, 19, 26, 27, 28, 29, 32, 37, 39]]"
BB,40,200,200,841,0.0016171932220458984,"[[5, 6, 8, 13, 14, 18, 20, 32, 33, 34, 35, 36]]"
BB,40,200,200,1066,0.02227783203125,"[[2, 3, 10, 11, 12, 15, 21, 23, 25, 29, 30, 33, 35, 38]]"
BB,40,200,200,842,0.015084028244018555,"[[1, 5, 6, 7, 23, 25, 27, 31, 36, 37]]"
BB,40,200,200,875,0.003358602523803711,"[[0, 1, 4, 13, 15, 16, 17, 18, 22, 25, 29, 35]]"
BB,40,200,200,901,0.007534027099609375,"[[1, 4, 12, 13, 19, 24, 26, 28, 30, 35, 37]]"
BB,40,200,200,819,0.022556304931640625,"[[2, 3, 6, 22, 23, 28, 30, 32, 33, 36, 39]]"
BB,40,200,200,847,0.002824544906616211,"[[3, 4, 5, 15, 17, 18, 30, 32, 35, 37, 38]]"
BB,40,200,200,953,0.016467571258544922,"[[9, 10, 11, 21, 24, 27, 29, 30, 31, 32, 33, 36, 37]]"
BB,40,200,200,886,0.0021941661834716797,"[[3, 7, 9, 10, 14, 15, 20, 22, 28, 29, 31, 36, 38]]"
BB,30,200,200,806,0.0002753734588623047,"[[0, 1, 6, 9, 10, 12, 14, 15, 18, 19, 24]]"
BB,30,200,200,942,0.0001735687255859375,"[[0, 2, 3, 5, 7, 9, 12, 16, 20, 25, 27, 28, 29]]"
