Algoritmo,Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
BB,20,200,200,698,0.00011873245239257812,"[[2, 3, 4, 6, 8, 10, 14, 16, 18, 19]]"
BB,20,200,200,688,0.00013494491577148438,"[[2, 3, 5, 6, 9, 14, 15, 16, 19]]"
BB,20,200,200,471,0.00041031837463378906,"[[11, 12, 13, 16, 17, 18, 19]]"
BB,20,200,200,759,0.00014853477478027344,"[[1, 3, 5, 6, 7, 9, 10, 14, 16, 17]]"
BB,20,200,200,638,0.00026607513427734375,"[[0, 1, 2, 3, 4, 6, 7, 8, 10, 13, 19]]"
BB,20,200,200,626,0.0002582073211669922,"[[3, 6, 7, 8, 10, 11, 12, 13, 14, 19]]"
BB,20,200,200,678,0.0001544952392578125,"[[1, 2, 3, 5, 6, 7, 11, 12, 15, 16]]"
BB,20,200,200,709,0.00019884109497070312,"[[0, 1, 7, 9, 13, 14, 15, 16, 18]]"
BB,20,200,200,897,0.0003533363342285156,"[[2, 4, 5, 8, 9, 10, 13, 14, 16, 17, 18, 19]]"
BB,20,200,200,579,8.726119995117188e-05,"[[0, 4, 7, 10, 11, 13, 15]]"
BB,40,200,200,819,0.0313105583190918,"[[9, 10, 12, 15, 22, 24, 29, 32, 35, 37]]"
BB,40,200,200,774,0.09186649322509766,"[[6, 8, 10, 28, 29, 31, 32, 33, 35, 37, 39]]"
BB,40,200,200,749,0.0019075870513916016,"[[3, 4, 5, 13, 22, 30, 31, 32, 36, 37, 38]]"
BB,40,200,200,711,0.0020902156829833984,"[[2, 5, 8, 9, 17, 23, 24, 34, 38]]"
BB,40,200,200,854,0.007619142532348633,"[[0, 2, 4, 5, 7, 10, 16, 17, 19, 21, 27, 35]]"
BB,40,200,200,770,0.0006501674652099609,"[[2, 3, 9, 14, 17, 22, 24, 26, 29, 33, 34]]"
BB,40,200,200,763,0.009465932846069336,"[[2, 4, 5, 11, 12, 21, 25, 33, 38, 39]]"
BB,40,200,200,798,0.0010366439819335938,"[[1, 2, 3, 6, 10, 18, 21, 25, 28, 37, 38]]"
BB,40,200,200,958,0.008438587188720703,"[[3, 6, 7, 8, 14, 15, 16, 21, 23, 26, 27, 29, 32, 38]]"
BB,40,200,200,773,0.007592439651489258,"[[7, 13, 14, 15, 19, 22, 25, 27, 29, 36, 39]]"
BB,100,200,200,961,4.764126539230347,"[[1, 4, 11, 16, 26, 31, 50, 51, 52, 74, 88, 91, 93]]"
BB,100,200,200,1127,7.753563404083252,"[[9, 22, 24, 28, 29, 31, 33, 39, 46, 48, 54, 64, 68, 74, 81, 87]]"
BB,100,200,200,1156,0.7937717437744141,"[[1, 6, 7, 23, 34, 42, 47, 51, 52, 55, 57, 62, 69, 72, 88, 94]]"
BB,100,200,200,977,36.774837255477905,"[[8, 13, 18, 29, 34, 36, 41, 60, 62, 76, 79, 80, 83]]"
BB,100,200,200,1337,3.899944305419922,"[[0, 1, 13, 17, 18, 23, 28, 29, 35, 38, 55, 59, 61, 66, 68, 76, 90]]"
BB,100,200,200,1094,13.087677717208862,"[[4, 6, 7, 13, 20, 25, 31, 45, 50, 56, 59, 60, 61, 87]]"
BB,100,200,200,1009,8.869035243988037,"[[9, 18, 21, 22, 35, 45, 55, 65, 75, 76, 93, 95, 97, 98]]"
