Num_Itens,Cap_Peso,Cap_Volume,Lucro_Max,Tempo_Exec(s),Itens_Ids
1000,250,100,849,17.875938892364502,"[[31, 35, 67, 85, 101, 109, 122, 136, 234, 418, 478, 600, 665, 712, 739, 750, 797, 803, 886, 904, 953, 959, 966, 984]]"
1000,250,100,844,17.825501680374146,"[[23, 27, 65, 159, 166, 177, 240, 348, 414, 437, 463, 465, 508, 554, 617, 652, 795, 809, 844, 897, 898]]"
1000,250,100,867,17.735874891281128,"[[23, 156, 295, 302, 336, 346, 381, 393, 423, 425, 436, 522, 555, 559, 611, 715, 765, 854, 882, 922, 933, 963, 994]]"
1000,250,100,853,17.717206716537476,"[[52, 91, 125, 151, 180, 201, 250, 314, 382, 453, 482, 500, 563, 607, 699, 723, 803, 870, 926, 930, 940, 973]]"
1000,250,100,904,17.641237020492554,"[[53, 59, 119, 153, 237, 240, 355, 469, 517, 540, 567, 569, 637, 660, 735, 740, 802, 823, 831, 837, 842, 844, 953, 994]]"
1000,250,100,731,17.84937071800232,"[[16, 112, 138, 317, 385, 549, 640, 678, 705, 714, 728, 757, 804, 830, 850, 864, 929, 939, 956, 997]]"
1000,250,100,962,23.576290369033813,"[[105, 106, 218, 360, 364, 371, 528, 542, 581, 626, 655, 662, 663, 735, 765, 777, 807, 813, 816, 831, 868, 928, 962]]"
1000,250,100,793,18.58754301071167,"[[3, 30, 36, 41, 138, 159, 205, 387, 416, 435, 478, 493, 603, 611, 615, 641, 669, 754, 857, 900, 963, 977]]"
1000,250,100,811,18.080641269683838,"[[13, 92, 139, 274, 287, 299, 377, 409, 420, 473, 485, 491, 572, 693, 727, 744, 764, 802, 855, 906, 934]]"
1000,250,100,865,18.02703022956848,"[[10, 26, 81, 90, 131, 150, 254, 261, 263, 276, 283, 466, 521, 649, 655, 663, 681, 684, 713, 714, 937, 954]]"
